user_id,rank,artist,song
U0001,1,Bad Bunny,Tití Me Preguntó
U0001,2,SZA,Kill Bill
U0001,3,Phoebe Bridgers,Motion Sickness
U0001,4,Travis Scott,SICKO MODE
U0001,5,Billie Eilish,Happier Than Ever
U0002,1,Lana Del Rey,Summertime Sadness
U0002,2,BTS,Dynamite
U0002,3,"Tyler, The Creator",EARFQUAKE
U0002,4,Billie Eilish,Happier Than Ever
U0002,5,Arctic Monkeys,505
U0003,1,Phoebe Bridgers,Motion Sickness
U0003,2,Kendrick Lamar,HUMBLE.
U0003,3,Taylor Swift,Cruel Summer
U0003,4,Bad Bunny,Tití Me Preguntó
U0003,5,Arctic Monkeys,505
U0004,1,Kendrick Lamar,HUMBLE.
U0004,2,Harry Styles,As It Was
U0004,3,Doja Cat,Say So
U0004,4,"Tyler, The Creator",EARFQUAKE
U0004,5,BTS,Dynamite
U0005,1,SZA,Kill Bill
U0005,2,Travis Scott,SICKO MODE
U0005,3,Arctic Monkeys,505
U0005,4,Phoebe Bridgers,Motion Sickness
U0005,5,BTS,Dynamite
U0006,1,Billie Eilish,Happier Than Ever
U0006,2,Phoebe Bridgers,Motion Sickness
U0006,3,"Tyler, The Creator",EARFQUAKE
U0006,4,Doja Cat,Say So
U0006,5,BTS,Dynamite
U0007,1,Ariana Grande,"thank u, next"
U0007,2,Taylor Swift,Cruel Summer
U0007,3,Billie Eilish,Happier Than Ever
U0007,4,Frank Ocean,Ivy
U0007,5,Arctic Monkeys,505
U0008,1,Billie Eilish,Happier Than Ever
U0008,2,Kendrick Lamar,HUMBLE.
U0008,3,Blackpink,How You Like That
U0008,4,"Tyler, The Creator",EARFQUAKE
U0008,5,BTS,Dynamite
U0009,1,The Weeknd,Blinding Lights
U0009,2,Drake,One Dance
U0009,3,Phoebe Bridgers,Motion Sickness
U0009,4,Bad Bunny,Tití Me Preguntó
U0009,5,Doja Cat,Say So
U0010,1,Phoebe Bridgers,Motion Sickness
U0010,2,Ariana Grande,"thank u, next"
U0010,3,Olivia Rodrigo,vampire
U0010,4,Billie Eilish,Happier Than Ever
U0010,5,SZA,Kill Bill
U0011,1,Harry Styles,As It Was
U0011,2,Bad Bunny,Tití Me Preguntó
U0011,3,Lana Del Rey,Summertime Sadness
U0011,4,NewJeans,Super Shy
U0011,5,Billie Eilish,Happier Than Ever
U0012,1,Harry Styles,As It Was
U0012,2,Arctic Monkeys,505
U0012,3,Olivia Rodrigo,vampire
U0012,4,SZA,Kill Bill
U0012,5,Bad Bunny,Tití Me Preguntó
U0013,1,Olivia Rodrigo,vampire
U0013,2,Lana Del Rey,Summertime Sadness
U0013,3,Taylor Swift,Cruel Summer
U0013,4,Kendrick Lamar,HUMBLE.
U0013,5,"Tyler, The Creator",EARFQUAKE
U0014,1,BTS,Dynamite
U0014,2,Bad Bunny,Tití Me Preguntó
U0014,3,Taylor Swift,Cruel Summer
U0014,4,Harry Styles,As It Was
U0014,5,Travis Scott,SICKO MODE
U0015,1,Travis Scott,SICKO MODE
U0015,2,The Weeknd,Blinding Lights
U0015,3,Doja Cat,Say So
U0015,4,SZA,Kill Bill
U0015,5,Frank Ocean,Ivy
U0016,1,Frank Ocean,Ivy
U0016,2,Kendrick Lamar,HUMBLE.
U0016,3,The Weeknd,Blinding Lights
U0016,4,Phoebe Bridgers,Motion Sickness
U0016,5,Billie Eilish,Happier Than Ever
U0017,1,Phoebe Bridgers,Motion Sickness
U0017,2,Olivia Rodrigo,vampire
U0017,3,The Weeknd,Blinding Lights
U0017,4,Taylor Swift,Cruel Summer
U0017,5,Doja Cat,Say So
U0018,1,Doja Cat,Say So
U0018,2,Kendrick Lamar,HUMBLE.
U0018,3,BTS,Dynamite
U0018,4,Drake,One Dance
U0018,5,Ariana Grande,"thank u, next"
U0019,1,Travis Scott,SICKO MODE
U0019,2,Arctic Monkeys,505
U0019,3,Frank Ocean,Ivy
U0019,4,Billie Eilish,Happier Than Ever
U0019,5,Blackpink,How You Like That
U0020,1,"Tyler, The Creator",EARFQUAKE
U0020,2,NewJeans,Super Shy
U0020,3,Harry Styles,As It Was
U0020,4,Blackpink,How You Like That
U0020,5,Taylor Swift,Cruel Summer
U0021,1,Phoebe Bridgers,Motion Sickness
U0021,2,Taylor Swift,Cruel Summer
U0021,3,Kendrick Lamar,HUMBLE.
U0021,4,Travis Scott,SICKO MODE
U0021,5,Blackpink,How You Like That
U0022,1,Taylor Swift,Cruel Summer
U0022,2,Kendrick Lamar,HUMBLE.
U0022,3,Doja Cat,Say So
U0022,4,SZA,Kill Bill
U0022,5,Billie Eilish,Happier Than Ever
U0023,1,Taylor Swift,Cruel Summer
U0023,2,NewJeans,Super Shy
U0023,3,The Weeknd,Blinding Lights
U0023,4,BTS,Dynamite
U0023,5,SZA,Kill Bill
U0024,1,Billie Eilish,Happier Than Ever
U0024,2,Blackpink,How You Like That
U0024,3,Travis Scott,SICKO MODE
U0024,4,BTS,Dynamite
U0024,5,Lana Del Rey,Summertime Sadness
U0025,1,The Weeknd,Blinding Lights
U0025,2,Arctic Monkeys,505
U0025,3,Drake,One Dance
U0025,4,Travis Scott,SICKO MODE
U0025,5,Frank Ocean,Ivy
U0026,1,Harry Styles,As It Was
U0026,2,Billie Eilish,Happier Than Ever
U0026,3,Blackpink,How You Like That
U0026,4,SZA,Kill Bill
U0026,5,Lana Del Rey,Summertime Sadness
U0027,1,Arctic Monkeys,505
