user_1,user_2,similarity_score
U0001,U0002,0.111
U0001,U0003,0.25
U0001,U0004,0.0
U0001,U0005,0.429
U0001,U0006,0.25
U0001,U0007,0.111
U0001,U0008,0.111
U0001,U0009,0.25
U0001,U0010,0.429
U0001,U0011,0.25
U0001,U0012,0.25
U0001,U0013,0.0
U0001,U0014,0.25
U0001,U0015,0.25
U0001,U0016,0.25
U0001,U0017,0.111
U0001,U0018,0.0
U0001,U0019,0.25
U0001,U0020,0.0
U0001,U0021,0.25
U0001,U0022,0.25
U0001,U0023,0.111
U0001,U0024,0.25
U0001,U0025,0.111
U0001,U0026,0.25
U0001,U0027,0.111
U0001,U0028,0.429
U0001,U0029,0.0
U0001,U0030,0.111
U0001,U0031,0.25
U0001,U0032,0.111
U0001,U0033,0.0
U0001,U0034,0.111
U0001,U0035,0.25
U0001,U0036,0.111
U0001,U0037,0.0
U0001,U0038,0.25
U0001,U0039,0.111
U0001,U0040,0.111
U0001,U0041,0.0
U0001,U0042,0.25
U0001,U0043,0.111
U0001,U0044,0.111
U0001,U0045,0.111
U0001,U0046,0.25
U0001,U0047,0.25
U0001,U0048,0.25
U0001,U0049,0.0
U0001,U0050,0.111
U0001,U0051,0.25
U0001,U0052,0.0
U0001,U0053,0.111
U0001,U0054,0.111
U0001,U0055,0.111
U0001,U0056,0.25
U0001,U0057,0.429
U0001,U0058,0.111
U0001,U0059,0.25
U0001,U0060,0.111
U0001,U0061,0.111
U0001,U0062,0.667
U0001,U0063,0.0
U0001,U0064,0.25
U0001,U0065,0.0
U0001,U0066,0.0
U0001,U0067,0.111
U0001,U0068,0.429
U0001,U0069,0.111
U0001,U0070,0.111
U0001,U0071,0.111
U0001,U0072,0.111
U0001,U0073,0.25
U0001,U0074,0.111
U0001,U0075,0.0
U0001,U0076,0.111
U0001,U0077,0.0
U0001,U0078,0.429
U0001,U0079,0.25
U0001,U0080,0.25
U0001,U0081,0.25
U0001,U0082,0.25
U0001,U0083,0.111
U0001,U0084,0.111
U0001,U0085,0.111
U0001,U0086,0.0
U0001,U0087,0.111
U0001,U0088,0.0
U0001,U0089,0.25
U0001,U0090,0.25
U0001,U0091,0.111
U0001,U0092,0.667
U0001,U0093,0.111
U0001,U0094,0.0
U0001,U0095,0.0
U0001,U0096,0.25
U0001,U0097,0.0
U0001,U0098,0.25
U0001,U0099,0.429
U0001,U0100,0.429
U0001,U0101,0.111
U0001,U0102,0.429
U0001,U0103,0.0
U0001,U0104,0.111
U0001,U0105,0.111
U0001,U0106,0.0
U0001,U0107,0.25
U0001,U0108,0.25
U0001,U0109,0.111
U0001,U0110,0.429
U0001,U0111,0.0
U0001,U0112,0.111
U0001,U0113,0.0
U0001,U0114,0.0
U0001,U0115,0.0
U0001,U0116,0.25
